STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COUNTRY,Country/Region,FREQUENCY,Frequency,RDD_SECTOR,Sector,RDD_TECH,Technology,RDD_TYPE,Type,UNIT,Unit,TIME_PERIOD,Time Period,OBS_VALUE,Observation value,QUALIFIER,Qualifier,CONF_STATUS,Confidential Status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,NEWZEALAND,New Zealand,A,Annual,PUBLIC,Total public,RENEWABLE,Group 3: Renewable energy sources,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2017,,5.878,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,NEWZEALAND,New Zealand,A,Annual,PUBLIC,Total public,RENEWABLE,Group 3: Renewable energy sources,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2018,,8.239,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,NEWZEALAND,New Zealand,A,Annual,PUBLIC,Total public,RENEWABLE,Group 3: Renewable energy sources,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2019,,10.324,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,NEWZEALAND,New Zealand,A,Annual,PUBLIC,Total public,RENEWABLE,Group 3: Renewable energy sources,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2020,,7.557,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,NEWZEALAND,New Zealand,A,Annual,PUBLIC,Total public,RENEWABLE,Group 3: Renewable energy sources,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2021,,7.074,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,NEWZEALAND,New Zealand,A,Annual,PUBLIC,Total public,RENEWABLE,Group 3: Renewable energy sources,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2022,,7.408,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,NEWZEALAND,New Zealand,A,Annual,PUBLIC,Total public,RENEWABLE,Group 3: Renewable energy sources,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2023,,4.449,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2008,,1.836,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2009,,1.974,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2010,,2.06,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2011,,0,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2012,,0,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2013,,0.117,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2014,,0,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2015,,0.025,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2016,,0.079,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2017,,0.013,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2018,,0.114,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2019,,0.021,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2020,,0.106,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2021,,0.109,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2022,,0.074,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2023,,0.068,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,SLOVAKIA,Slovak Republic,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2024,,0.087,,P,Provisional Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,GREECE,Greece,A,Annual,PUBLIC,Total public,OTHERPANDS,Group 6: Other power and storage technologies,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2000,,3.45,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,GREECE,Greece,A,Annual,PUBLIC,Total public,OTHERPANDS,Group 6: Other power and storage technologies,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2001,,3.616,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,GREECE,Greece,A,Annual,PUBLIC,Total public,OTHERPANDS,Group 6: Other power and storage technologies,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2002,,3.866,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,GREECE,Greece,A,Annual,PUBLIC,Total public,OTHERPANDS,Group 6: Other power and storage technologies,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2005,,3.101,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,GREECE,Greece,A,Annual,PUBLIC,Total public,OTHERPANDS,Group 6: Other power and storage technologies,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2006,,2.865,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,GREECE,Greece,A,Annual,PUBLIC,Total public,OTHERPANDS,Group 6: Other power and storage technologies,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2010,,0.923,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,GREECE,Greece,A,Annual,PUBLIC,Total public,OTHERPANDS,Group 6: Other power and storage technologies,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2011,,0.34,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,BRAZIL,Brazil,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2013,,2.468,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,BRAZIL,Brazil,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2014,,1.978,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,BRAZIL,Brazil,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2015,,2.272,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,BRAZIL,Brazil,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2016,,2.085,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,BRAZIL,Brazil,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2017,,0.682,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,BRAZIL,Brazil,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2018,,1.958,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,BRAZIL,Brazil,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2019,,5.421,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,BRAZIL,Brazil,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2020,,5.899,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,BRAZIL,Brazil,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2021,,7.486,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,BRAZIL,Brazil,A,Annual,PUBLIC,Total public,HGENCELL,Group 5: Hydrogen and fuel cells,RDD,"Research, development and demonstration",USD_R,USD (constant prices and exchange rates),2022,,19.881,,I,Imputed Value,F,Non-confidential,6,Millions,3,
